_RAJ2000	_DEJ2000	RAJ2000	DEJ2000	SrcIDgaia	RAgaia	e_RAgaia	DEgaia	e_DEgaia	Org	Nu	EPucac	pmRA	e_pmRA	pmDE	e_pmDE	Gmag	f.mag	Rmag	Jmag	Hmag	Kmag
265.201531269	-53.699759494	265.2015269	-53.6997294	5921745189398300416	265.2015756	11.7	-53.7000650	12.7	2	4	1998.522	6.3	3.3	-73.3	3.4	15.956	15.192	30.000	14.422	14.198	14.137
265.202885314	-53.702712452	265.2028769	-53.7027078	5921745193686993664	265.2029706	15.4	-53.7027597	16.6	3	1	1998.518	12.1	9.7	-11.3	9.7	17.061	16.718				
265.203110035	-53.690892174	265.2031047	-53.6908900	5921745228046817536	265.2031642	15.4	-53.6909144	16.6	3	2	1998.523	7.7	6.1	-5.3	6.2	16.504	16.350				
265.203278804	-53.704208909	265.2032897	-53.7041972	5921745193686978560	265.2031683	15.4	-53.7043275	16.7	2	4	1998.521	-15.7	5.0	-28.5	4.6	16.676	16.438	30.000	15.137	14.906	14.753
265.203440441	-53.685838708	265.2034428	-53.6858422	5921745223758040704	265.2034167	11.9	-53.6858033	12.8	2	2	1998.521	-3.4	5.9	8.5	6.6	15.792	16.406	30.000	14.329	14.048	13.978
265.203592402	-53.687808580	265.2035897	-53.6878014	5921745223758040960	265.2036197	0.3	-53.6878817	0.3	2	6	1998.523	3.9	0.9	-17.5	0.9	11.206	11.472	11.200	9.513	8.956	8.809
265.204088639	-53.694947112	265.2040867	-53.6949417	5921745223758041600	265.2041083	10.7	-53.6950022	11.5	2	2	1998.524	2.8	6.9	-13.2	6.4	16.240	16.862	30.000	15.294	15.082	15.016
265.204024341	-53.689741333	265.2040139	-53.6897347	5921745228046819584	265.2041308	15.4	-53.6898092	16.6	3	2	1998.526	15.1	5.9	-16.2	5.9	16.316	16.669				
265.205132197	-53.705250867	265.2051297	-53.7052436	5921745189398082176	265.2051578	21.0	-53.7053244	22.6	2	7	1998.522	3.6	1.6	-17.7	1.6	13.005	13.383	12.850	12.438	12.350	12.277
265.205797060	-53.692700462	265.2058078	-53.6926900	5921745223758043648	265.2056878	12.0	-53.6928067	13.0	2	4	1998.523	-15.5	3.6	-25.5	3.7	15.620	15.639	30.000	14.195	14.045	13.865
265.206144364	-53.691215618	265.2061325	-53.6912081	5921745223758044416	265.2062650	11.4	-53.6912919	12.4	2	1	1998.521	17.1	9.9	-18.3	10.7	16.454	16.735	30.000	14.365	14.727	14.634
265.207887281	-53.694761444	265.2078913	-53.6947525	5921745223758046592	265.2078469	10.7	-53.6948522	11.5	2	3	1998.523	-5.8	4.2	-21.8	4.3	16.083	16.445	30.000	15.223	14.945	15.140
265.207964455	-53.709055511	265.2079639	-53.7090475	5921745193686923904	265.2079703	15.4	-53.7091367	16.6	2	3	1998.521	0.8	4.3	-19.5	4.3	16.129	16.302	12.200	30.000	30.000	30.000
265.207966095	-53.700698954	265.2079636	-53.7006928	5921745189398082944	265.2079914	12.9	-53.7007614	14.0	2	4	1998.523	3.6	2.2	-15.0	2.1	15.045	15.563	30.000	13.705	13.266	13.202
