_RAJ2000	_DEJ2000	RA_ICRS	e_RA_ICRS	DE_ICRS	e_DE_ICRS	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BP-RP)	Rad	Lum
265.1851740466292	-53.7031226870290	265.18517404663	2.6424	-53.70312268703	1.9858	5921745159327340288							0	3.8969e+02	7.0014e+00	19.2116	0.0195																
265.1979084503313	-53.7093035720229	265.19790845033	1.1529	-53.70930357202	0.3500	5921745090607754368							0	1.0621e+03	5.1636e+00	18.1230	0.0053																
265.1847070059738	-53.7115412309746	265.18472724329	0.1231	-53.71161626257	0.1244	5921745159327275136	0.4590	0.1384	2.782	0.254	-17.427	0.241	0	1.6275e+03	2.9976e+00	17.6596	0.0020	1.1313e+03	3.9552e+01	17.7175	0.0380	1.5295e+03	1.7496e+01	16.8006	0.0124	0.9169							
265.1724804427098	-53.7112491378317	265.17250106692	0.4711	-53.71133070351	0.3850	5921745124967604736	0.4445	0.3857	2.835	0.593	-18.944	0.590	0	6.0860e+02	1.8420e+00	18.7275	0.0033	5.0475e+02	7.2681e+00	18.5937	0.0156	6.5470e+02	4.0506e+00	17.7218	0.0067	0.8719							
265.1695004449416	-53.7075834832522	265.16950044494	7.3669	-53.70758348325	7.4289	5921745159341967488							0	1.3135e+02	1.3949e+00	20.3923	0.0115																
265.1868834014257	-53.7102944357173	265.18691089941	0.1317	-53.71036818317	0.1261	5921745159327278592	0.6027	0.1356	3.780	0.266	-17.128	0.241	0	1.7786e+03	3.0361e+00	17.5631	0.0019																
265.1762832339197	-53.7108486981010	265.17633814810	0.8143	-53.71091326273	0.5421	5921745159341967872	2.7387	0.6857	7.549	2.434	-14.996	1.352	0	2.4461e+02	1.7275e+00	19.7172	0.0077	2.4536e+02	1.4660e+01	19.3769	0.0649	2.9806e+02	2.0666e+01	18.5761	0.0753	0.8007							
265.1843408477107	-53.7119414235526	265.18434084771	13.4816	-53.71194142355	6.1808	5921745159327274880							0	1.4365e+02	2.3397e+00	20.2951	0.0177																
265.1879862069069	-53.7086453852699	265.18803239208	0.1971	-53.70872163483	0.2318	5921745159327279232	-0.5998	0.2578	6.349	0.394	-17.710	0.447	0	1.5243e+03	6.2607e+00	17.7307	0.0045	1.1912e+03	2.8180e+01	17.6614	0.0257	1.5887e+03	1.6285e+01	16.7593	0.0111	0.9021							
265.1867075670535	-53.7096968940794	265.18673733852	0.1253	-53.70976924237	0.1249	5921745159327282048	-0.1470	0.1307	4.093	0.261	-16.803	0.242	0	3.5273e+03	1.0523e+01	16.8198	0.0032	4.0677e+03	1.1720e+02	16.3280	0.0313	4.6834e+03	4.1315e+01	15.5855	0.0096	0.7425			5095.63				
